fechaCorte:2025-04-18
departamento,municipio,reservacionID,fechaInicial,fechaFinal
01,001,50001,2025-05-10,2025-05-12
01,002,50013,2025-05-14,2025-05-16
01,002,50007,2025-05-16,2025-05-18
01,001,50009,2025-05-20,2025-05-22
02,004,50004,2025-05-22,2025-05-25
02,003,50002,2025-06-01,2025-06-05
02,003,50005,2025-06-10,2025-06-12
02,003,50010,2025-06-15,2025-06-18
01,001,50014,2025-06-20,2025-06-22
02,004,50011,2025-07-01,2025-07-04
02,004,50015,2025-07-10,2025-07-12
03,005,50003,2025-07-15,2025-07-20
03,006,50006,2025-08-01,2025-08-03
03,006,50012,2025-08-05,2025-08-07
03,005,50016,2025-08-20,2025-08-25
03,005,50008,2025-09-01,2025-09-05
